StudentID,Study_Hours_per_Week,Sleep_Hours_per_Night,Final_Grade (%)
1,3.7,8.9,89.0
2,9.5,8.1,100.0
3,7.3,8.8,100.0
4,6.0,8.6,85.0
5,1.6,7.4,79.0
6,1.6,8.7,84.0
7,0.6,5.4,80.0
8,8.7,5.8,95.0
9,6.0,5.2,84.0
10,7.1,6.3,91.0
11,0.2,6.6,78.0
12,9.7,6.1,100.0
13,8.3,8.3,99.0
14,2.1,6.4,82.0
15,1.8,6.1,78.0
16,1.8,7.2,85.0
17,3.0,5.6,77.0
18,5.2,8.2,90.0
19,4.3,5.3,82.0
20,2.9,8.9,79.0
21,6.1,8.1,96.0
22,1.4,5.8,77.0
23,2.9,5.0,79.0
24,3.7,8.3,87.0
25,4.6,7.8,82.0
26,7.9,7.9,97.0
27,2.0,8.1,80.0
28,5.1,5.3,82.0
29,5.9,6.4,90.0
30,0.5,5.5,75.0
31,6.1,8.5,100.0
32,1.7,7.5,81.0
33,0.7,6.3,76.0
34,9.5,5.3,99.0
35,9.7,6.2,92.0
36,8.1,6.3,97.0
37,3.0,7.9,85.0
38,1.0,7.6,91.0
39,6.8,8.5,96.0
40,4.4,6.9,89.0
41,1.2,5.5,74.0
42,5.0,7.9,85.0
43,0.3,8.0,83.0
44,9.1,7.2,100.0
45,2.6,8.1,88.0
46,6.6,7.0,89.0
47,3.1,7.1,91.0
48,5.2,6.7,82.0
49,5.5,5.1,90.0
50,1.8,5.4,87.0
